Intensidad         cm
2.00723e-18       0.440528634
2.49508e-18       0.367647059
2.93024e-18       0.314465409
3.2777e-18        0.275482094
3.54081e-18       0.245098039
3.72079e-18       0.220264317
3.81493e-18       0.200400802
3.83478e-18       0.183486239
3.78901e-18       0.169491525
3.68833e-18       0.157480315
3.54063e-18       0.146842878
3.36278e-18       0.137741047
3.16076e-18       0.129701686
2.93924e-18       0.122399021
2.71432e-18       0.116009281
2.48239e-18       0.110132159
2.2594e-18        0.104931794
2.04327e-18       0.100200401
1.83262e-18       0.095785441
1.6383e-18        0.091827365
1.4575e-18        0.088183422
1.28835e-18       0.084745763
1.13568e-18       0.081632653
9.9451e-19        0.078678206
8.7036e-19        0.075987842
7.5876e-19        0.071073205
6.5766e-19        0.068870523
5.7008e-19        0.055648303
4.9223e-19        0.064808814
4.2267e-19        0.062972292
3.6352e-19        0.06119951
3.1062e-19        0.059559261
2.658e-19         0.05800464
2.2644e-19        0.056497175
1.9255e-19        0.055096419
1.6391e-19        0.053734551
1.3811e-19        0.052465897
1.1716e-19        0.051255766
9.921e-20         0.050075113
8.364e-20         0.048971596
7.087e-20         0.047915668
5.801e-20         0.046882325










































